BATF	SNAPC5
DPEP1	KIFBP
EVI5L	NUDT18
NUDT18	RWDD1
SUFU	ZNF446
DTX2	NCALD
MAPRE2	MAPRE2
RAI2	SGTB
E2F6	TFDP1
CEP70	ZNF426
RBPMS	TEX37
SORBS3	ZBTB25
LNX1	TSC22D4
FHL3	LASP1
ELAVL4	EWSR1
CTH	CTH
SEPTIN1	TOLLIP
MDFI	PIDD1
KRT15	TXNDC11
CKB	SERP2
SIRPA	TRIM2
KHDRBS3	RBM7
MDFI	NPDC1
HOXB6	KRT15
SEC13	SEC16B
CKS2	TSC22D4
ATG12	MDFI
CALCOCO1	KRT15
HGS	LURAP1
LNX1	ZBTB43
CDC42EP1	MAPKAP1
APPBP2	MLLT3
COL8A1	EFEMP2
KLHL42	RCN3
CALCOCO2	TCL1A
DCTD	NUDT18
MCM5	MDFI
MDFI	NECTIN2
CREB3	MALL
TP53RK	TPRKB
IL36RN	SSBP2
SERPINI2	UBQLN1
CDC42EP1	PLSCR1
LRCH4	MDFI
NIF3L1	S100A1
FAM107A	HOOK2
MEOX2	TULP2
EYA2	RBPMS
BAALC	MDFI
CALCOCO2	ENKD1
KDM8	PCYT2
CALCOCO2	ZNF426
FAM160A2	REEP6
AMOTL2	MAGOHB
LMO3	MDFI
AAR2	GJA5
ASPA	ASPA
FHL3	TRIP6
CCDC85B	ENKD1
KRT15	RHPN1
DVL2	ENKD1
FAM107A	KRT15
ENOX1	ZBTB16
BEGAIN	FAM107A
HEY2	PLSCR1
EFEMP2	ZNF426
MDFI	TAP1
DNAL4	FHL5
INTS11	MDFI
AKIRIN2	LNX1
KXD1	LNX1
MDFI	ZNF581
APPBP2	TBL3
PSMD4	RASSF8
NUP62	THAP1
HSD17B14	NUDT18
CNNM3	MDFI
CAVIN2	PLEKHF2
SYT17	TSC22D4
LASP1	MDFI
EMILIN1	NMI
FHL3	RBM42
CCT5	ZNRD2
KRT15	LNX1
MDFI	ZNF764
TEAD3	WWTR1
NCBP1	RNF40
NUDT18	TRIM37
KRT15	NUDT18
SGTA	SYT4
DVL3	LNX1
NUDT18	PAICS
SP100	SUMO1
CHTF8	EIF4EBP1
CEP70	ENKD1
MAD1L1	TRIM29
DVL3	ZBTB48
FBP1	RNF183
EHMT2	LNX1
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
THAP1	ZCCHC10
YIPF3	YIPF4
KRT15	ZNF638
AMOTL2	MAD1L1
CBFA2T2	MDFI
MDFI	ZNF101
HOMER1	SARG
APPBP2	PCSK5
AMOTL2	KRT15
FANCG	KRT19
DNPEP	MDFI
EWSR1	MDFI
KRT15	NIF3L1
LNX1	PAICS
PHF1	THAP1
AP2B1	TENT5C
CCDC85B	FAM107A
HIF1AN	INVS
KIAA1217	KRT15
HNRNPM	LMO3
ZNF446	ZSCAN9
CCDC85B	PRC1
MDFI	PHLDA1
GLUL	NUDT18
CDCA3	CTDSP1
CCDC85B	PIDD1
FAM86C1P	SAT1
KRT15	PSMA1
HNRNPC	LMO3
ABI2	KRT15
HGS	TADA2A
ABLIM1	KRT15
THAP1	U2AF2
ENKD1	RBPMS
PDE9A	PDE9A
PRTFDC1	STAT5A
HOOK2	UTP14A
FBP1	LNX1
FAM107A	NINL
ACAP1	IFFO1
APPBP2	SYT11
CUTC	NUDT18
BEGAIN	ENKD1
ETNK2	NOL3
MAD1L1	TUBGCP4
CALCOCO1	FOSL1
PLK3	TRIP13
STX11	STX11
MDFI	VPS72
CEP63	KXD1
STRBP	THAP1
FXR2	ZNRD2
EWSR1	SUV39H2
HPRT1	PRTFDC1
ENOX1	ENOX2
KRT15	PSMC5
LMO3	MBIP
CALCOCO2	FAM107A
SEPTIN1	SEPTIN1
FAM107A	KRT19
KRT15	PRPH
KRT15	MAD2L1BP
DVL2	THAP1
PARD6A	PRKCZ
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
CDK4	CDKN2B
E2F6	TFDP2
SNAP23	STX11
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
FOSL1	JUNB
S100A1	S100B
BATF	DDIT3
MAD1L1	MAD1L1
FANCA	FANCG
S100A1	S100A4
MAGOHB	RBM8A
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
ZBTB8A	ZNF276
PLAU	SERPINE1
PLAU	SERPINE2
FGF2	SDC1
FGF2	SDC2
FGF2	SDC4
BCL2	BID
BCL2	PMAIP1
BCL2L1	BID
BCL2L1	PMAIP1
BCL2L2	BID
BMF	MCL1
BID	MCL1
BCL2A1	BMF
BCL2A1	PMAIP1
MCL1	PMAIP1
DNMT3A	MYC
BCL2	ITPR1
DSN1	MIS12
ERBB3	GRB2
ERBB3	PIK3R2
CSK	ERBB3
ERBB3	SHC1
ACAN	LUM
DSN1	NSL1
CBX3	DSN1
DSN1	PMF1
CBX5	DSN1
DSN1	ZWINT
MTOR	RPTOR
FKBP1A	RPTOR
SV2B	SYT1
LUM	MMP14
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
FDFT1	PSTPIP1
GEMIN4	GSK3B
CTNNB1	LGALS9
GEMIN4	RNPS1
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
RAI14	YWHAB
AP2S1	KHK
ACTR3B	ARPC2
RUVBL1	WDCP
ATIC	PSTPIP1
EPB41L3	SMYD2
DOK2	PSMD10
ACTR3B	ARPC1A
EPB41L3	YWHAG
ARRB2	NOLC1
PPM1B	RASGRP1
OSBPL3	YWHAG
CORO1A	DKK1
ARRB1	KHK
EIF4EBP1	UBAC1
RUVBL2	WDCP
PTP4A2	TNFAIP8
CCNH	MNAT1
NRDE2	RNPS1
ARRB2	TCOF1
LRRK1	PAK4
EPB41L3	YWHAB
ACTR2	ACTR3B
FBXO4	SKP1
ARRB2	DDX27
PACSIN3	PYGM
AKTIP	HOOK1
ICA1	STK16
CUL1	RPRM
DNPEP	KRT31
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
RAB11A	RAB11FIP1
KRT31	TWF2
FBXW11	RPRM
ARF6	EPPK1
ACTR3B	ARPC4
DOK2	ZNRD2
KHK	SNRPB
ACTR3B	ARPC1B
NUP93	PHLDA3
EPB41L3	YWHAZ
ARRB2	KPNA3
EPPK1	GSTK1
RAI14	YWHAG
PFAS	TRAF6
PASK	STK16
CDC25B	KRT31
EPPK1	TSC22D1
FABP4	OSTF1
CD2BP2	USP39
GEMIN4	GIPC1
LRPPRC	TNFRSF10D
FANCI	PTP4A3
CDK4	RPRM
PTP4A1	TNFAIP8
ARRB2	KPNA4
PSTPIP1	RPL32
EPB41L3	YWHAQ
LTF	SGK1
JUP	LGALS9
LRRK1	S100A8
CASP4	SMC3
BZW1	PSTPIP1
DOK2	RAB10
PSTPIP1	RUVBL1
PKIG	RAB25
ARRB1	BOP1
HNF1A	PCBD1
BRIX1	LYAR
S100A9	TAGLN
PFAS	VHL
CALML5	YWHAQ
KRT31	STK38L
BAG2	MLF2
MEN1	RPRM
PSTPIP1	RPL31
RUVBL2	ZNRD2
GIPC1	NUP93
DEGS1	PYGM
LGALS9	SLC1A5
EBLN2	STK16
DENND4A	YWHAB
CTNNBIP1	PNMA2
C9orf163	LRRK1
EBLN2	TUSC2
ARRB2	BOP1
KRT31	LYAR
HNF1A	PCBD2
ASF1B	DOK2
FABP4	SNCG
ACTR3B	CDK4
DFFA	DFFB
DEDD	KHK
KHK	LYZ
PARP3	RPA3
KRT31	PLEKHB2
NOL3	PNKP
FANCI	ILK
RAD51D	RADIL
RAI14	YWHAQ
CASP4	GSN
EHF	ELF3
FBLN1	MPG
ACTR3B	ARPC5L
BZW2	PSTPIP1
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
AKTIP	TIMM50
ASF1B	CDIN1
CAB39	EBLN2
PACSIN3	RPL23A
EBLN2	FANCC
SNCG	TIMP2
SGO2	TUSC2
ARRB1	ARRB2
BAG2	PSMC4
ATG10	ATG12
CASP4	DNAAF5
COPG2	MAGED1
ARRB1	PES1
ASB3	S100A9
ATIC	RADIL
BAK1	KRT31
BARHL1	MED7
MTHFD2	PARP3
POLD1	PTP4A3
KRT31	YWHAG
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
H2BC21	PARP3
IGF2BP2	PUF60
DOK2	SPOP
AP1S1	EBLN2
ACTR3B	ARPC3
ELF3	KRT31
MCC	PFAS
FBXO4	NEDD8
DYNLL1	SNCG
GEMIN4	SNRPB
CASP4	SRPRB
DNAJB11	DOK2
S100A9	USF2
ACTR3B	ARPC5
CASP4	NUP93
NOL3	PACSIN3
BCAR3	TARS1
NUP93	PNKP
MYH10	TNFRSF10D
