#node1	node2
90993	706
90993	9145
90993	10406
90993	5355
90993	158866
90993	10562
90993	79152
90993	6713
90993	23484
90993	64748
90993	10430
90993	10282
90993	9570
90993	5376
90993	81622
90993	51026
90993	51522
90993	222642
90993	51300
90993	11068
90993	9173
90993	29914
90993	10237
90993	26984
90993	9409
90993	29095
90993	5354
90993	387522
90993	51141
90993	63908
90993	30817
90993	94101
90993	54982
90993	8639
90993	4814
90993	23480
90993	55065
90993	11161
90993	10100
90993	81494
90993	3775
90993	221938
90993	971
90993	81853
90993	53826
90993	6843
90993	55266
90993	6541
90993	7009
90993	64755
90993	123920
90993	432
90993	757
90993	2014
90993	963
90993	4259
90993	89872
90993	9027
90993	94097
90993	7851
90993	84236
90993	10682
90993	114569
90993	27315
90993	80332
90993	219854
90993	144110
90993	6695
90993	112616
90993	55326
90993	931
90993	347734
90993	64849
90993	79053
90993	56894
90993	116238
90993	79957
90993	58191
90993	7542
90993	27302
90993	91869
90993	51368
90993	401152
90993	169026
90993	29986
90993	56935
90993	84191
90993	6809
90993	79001
90993	359
90993	956
90993	10648
90993	29100
90993	27065
90993	5780
90993	55454
90993	3684
90993	9283
90993	2848
90993	10826
90993	9482
90993	53838
90993	23566
90993	1296
90993	4815
90993	4118
90993	134391
90993	64801
90993	8794
90993	201232
90993	133022
90993	254263
90993	282770
90993	22845
90993	113829
90993	664
90993	283576
90993	8834
90993	9370
90993	259236
90993	286451
90993	84975
90993	338879
90993	283870
90993	2520
90993	157567
90993	8529
90993	84065
90993	6007
90993	94107
90993	144404
90993	347
90993	55340
90993	222662
90993	161145
90993	100288797
90993	116228
90993	196051
90993	4758
90993	503497
90993	84912
90993	613212
90993	403313
90993	201562
90993	22908
90993	170575
90993	4056
90993	55333
90993	6844
90993	7124
90993	388588
90993	8972
90993	100287932
90993	9554
90993	9560
90993	5565
90993	4778
90993	727
90993	10488
90993	862
90993	10447
90993	79415
90993	4783
90993	56063
90993	84699
90993	1054
90993	10857
90993	11270
90993	84522
90993	85013
90993	90993
90993	1390
90993	55294
90993	3091
90993	5350
90993	8295
90993	8546
90993	7323
90993	7317
90993	6182
90993	2034
90993	1649
90993	23326
90993	64764
90993	54887
90993	83692
84283	5817
84283	57017
84283	1727
84283	27346
84283	55507
84283	51522
84283	9025
84283	26984
84283	80195
84283	57161
84283	84283
84283	51368
84283	339302
84283	6440
84283	200894
84283	23566
84283	64581
84283	408263
84283	170261
84283	133022
84283	56475
84283	57463
84283	283870
84283	7113
84283	157567
84283	347
84283	388633
84283	170575
84283	27230
84283	5355
84283	55273
84283	56649
84283	28
84283	6588
84283	5350
84283	2319
84283	2651
124975	26984
124975	23017
124975	64114
124975	80332
124975	27302
124975	956
124975	2907
124975	10447
124975	4854
200894	221981
200894	9341
200894	9454
200894	5476
200894	4925
200894	7037
200894	2222
200894	8417
200894	57715
200894	9524
200894	3162
200894	10406
200894	158866
200894	55238
200894	3163
200894	10423
200894	23484
200894	4818
200894	64748
200894	23770
200894	6804
200894	64598
200894	56913
200894	9570
200894	23531
200894	27346
200894	5376
200894	51522
200894	222642
200894	11068
200894	23463
200894	8674
200894	10237
200894	113452
200894	5047
200894	5354
200894	3759
200894	94101
200894	54982
200894	8639
200894	85013
200894	80195
200894	81494
200894	2012
200894	2572
200894	11270
200894	53826
200894	10219
200894	6843
200894	123920
200894	6518
200894	963
200894	89872
200894	9027
200894	7851
200894	80731
200894	51390
200894	10682
200894	114569
200894	27315
200894	219854
200894	112616
200894	9073
200894	64849
200894	147744
200894	58191
200894	10158
200894	27302
200894	51368
200894	401152
200894	10559
200894	157378
200894	2706
200894	65991
200894	29986
200894	124872
200894	80221
200894	956
200894	79089
200894	5780
200894	55454
200894	3684
200894	9283
200894	10826
200894	57228
200894	79188
200894	84522
200894	23566
200894	1296
200894	4815
200894	94103
200894	64581
200894	9854
200894	118430
200894	8794
200894	664
200894	977
200894	8269
200894	8834
200894	255043
200894	286451
200894	339390
200894	283870
200894	286753
200894	80757
200894	255275
200894	157567
200894	284415
200894	1364
200894	55340
200894	6273
200894	6693
200894	161145
200894	344892
200894	5350
200894	154467
200894	196051
200894	22908
200894	170575
200894	53345
200894	10195
200894	6844
200894	100507537
200894	9936
200894	5542
200894	6351
200894	9560
200894	7329
200894	1432
200894	5794
200894	51194
200894	9367
200894	10618
200894	30000
200894	10217
200894	23042
200894	10494
200894	22931
200894	55697
200894	3916
200894	9675
200894	64792
200894	92104
200894	79675
200894	80173
200894	57182
200894	51098
200894	54629
200894	28981
200894	56912
200894	79989
200894	64801
200894	200728
664	84336
664	638
664	10484
664	11237
664	5355
664	158866
664	374882
664	3249
664	6785
664	81833
664	10237
664	26984
664	51614
664	2866
664	2867
664	3895
664	51308
664	79022
664	1318
664	663
664	7851
664	10682
664	89885
664	9166
664	84641
664	932
664	148534
664	3460
664	116441
664	116173
664	55800
664	84522
664	219738
664	64581
664	390212
664	664
664	56475
664	8834
664	57463
664	7113
664	160760
664	388662
664	916
664	388633
664	51075
664	9080
664	440400
664	100533181
664	85027
664	596
664	598
664	3065
664	54860
664	64963
664	4686
664	81618
664	961
664	10488
664	3804
664	23710
664	347
664	79152
664	6440
664	9144
664	9445
664	81855
664	9631
664	403313
664	25972
664	10219
664	7052
664	6009
664	5071
664	3096
664	4976
664	2055
664	81631
664	55754
664	65018
664	2100
664	57223
664	599
664	2028
664	4000
664	3357
664	27166
664	185
664	2861
57463	57467
57463	5010
57463	55885
57463	706
57463	55238
57463	4818
57463	7379
57463	81539
57463	58515
57463	79669
57463	3488
57463	254428
57463	85025
57463	4283
57463	432
57463	757
57463	9032
57463	7851
57463	27315
57463	150696
57463	2706
57463	9482
57463	4815
57463	56475
57463	9370
57463	64184
57463	754
57463	157567
57463	403313
57463	643847
57463	386724
57463	347902
57463	57463
57463	9463
57463	5796
57463	910
57463	6339
57463	55540
57463	7903
57463	1880
57463	11160
57463	353174
57463	5445
57463	10331
57463	9445
57463	8747
57463	57552
57463	2556
57463	80332
