Gene Name Interactor A	Gene Name Interactor B
SREK1	SSRP1
SIRT7	POLR1A
VDR	SIRT1
SUMO2	DDX24
SUMO2	NSRP1
CCL14	DDX39A
SCNN1A	HGS
UBE2D3	HIST2H2AC
ELAVL1	TMEM97
JMJD6	PRPF40A
ARAP1	TP53BP1
TLE4	PRMT5
PPP1CA	MAP4K4
ELAVL1	APOBEC3C
ARHGAP32	RAC1
KDM5B	MTA2
ELAVL1	GOLIM4
PPP1CA	ZNF827
ELAVL1	ZNF638
TWIST1	TWIST2
JMJD6	LUC7L
RAD23A	USP25
POLR2M	RBM4B
VDR	CLASRP
ITPR1	UFD1
PAG1	SLC9A3R1
HMG20B	HMG20B
SUMO2	DMBT1
ELAVL1	FAM160B1
RNF4	TRIM28
ELAVL1	SFXN1
ELAVL1	MIER1
KLK10	LRIF1
ELAVL1	ZNF529
LAMTOR3	ADAMTS10
SUMO1	RPLP0P6
KDM1A	PRDM1
ZBTB16	CDK1
PRKCB	RBCK1
SREK1	TARBP1
KDM1A	CTBP1
ELAVL1	WDFY1
VIM	LRIF1
PTEN	INHBE
NIPBL	MED23
SMAD3	USP15
ELAVL1	EML4
ELAVL1	MAT2B
NOTCH1	APP
NOTCH1	APBB1
ELAVL1	ZBTB2
ELAVL1	RNF212
RPS6KA5	HIST2H3C
PPP2R5C	MBP
H3F3A	XRCC5
ELAVL1	USP28
CNTN2	TAX1BP1
ELAVL1	POGK
ELAVL1	HCN3
IRF4	IRAK1
ELAVL1	TMEM65
HLA-DRB4	HSPA8
MED19	DDX39B
KMT2A	SMARCB1
ELAVL1	DIP2B
HLA-DRB4	HSP90AB1
IRF7	TRIM21
HLA-DRB4	HSP90AA1
STAT6	RLIM
ITSN1	FNBP4
IRF8	CBL
IGF1R	TP53
ZFYVE28	RAB7A
MDM2	RASSF3
UBE3A	HIF1AN
SETDB1	LRIF1
NOD2	RIPK1
NOS2	SPSB2
PSMA3	DLAT
ELAVL1	PDE7B
NOP56	BRIX1
CENPA	HNRNPU
TRAF6	FYN
STUB1	NQO1
SMAD3	USP9X
PCLAF	PGAM2
SVIL	KIF14
PCLAF	PGK1
PCLAF	PFN2
PSD4	USP9X
TUBB4B	PSME1
NEDD4L	CUEDC1
PCLAF	FAM98B
YWHAQ	FASN
SRSF2	KAT5
UHRF2	CCNA2
MAPK6	KNSTRN
YWHAQ	ACSL4
RAD21	GTPBP1
CENPH	CENPU
IRF1	TRAF3
NBN	CD3EAP
SUMO1	SRRM2
SUMO1	MTREX
SUMO1	NUP188
COMMD1	CFTR
PIN1	CDK11A
RARRES3	SUMO1
CBL	PTK2
ELAVL1	TP53INP1
RNF2	HIST4H4
SMN1	UCHL1
CBL	PSMC5
NFATC2	SUV39H1
PRKCQ	FYB1
INTS10	INTS12
AZI2	TXLNG
USP7	PLA2G2A
ELAVL1	H2AFV
ELAVL1	GNE
ELAVL1	TROAP
RNF20	CDC73
SUMO1	PRSS50
XRCC6	KIAA0408
SIRT1	CMYA5
ELAVL1	PDCD6IP
ELAVL1	SH2B3
SRRM1	SRSF4
SRRM1	SRSF3
SRRM1	SRSF2
ELAVL1	ZBTB33
SRRM1	SRSF7
SRRM1	SRSF6
TGFBR1	ITCH
SRRM1	SRSF5
SIRT1	EEF1G
ELAVL1	BRPF3
STAT5B	PRLR
HMGCR	VCP
TRAPPC2	CLIC2
TRAPPC2	CLIC1
ITSN1	ZFPM2
RIPK2	RNF31
HLA-DRB5	MS4A1
RBFOX2	RBFOX2
PSMA3	SERPINA3
PCLAF	TUBB
PSMA3	ACTN2
PSMA3	ACTN4
SUMO2	AKAP8L
ITSN2	PIK3C2B
YWHAQ	PSME3
PSMA3	ACTB
PCK1	TSC22D3
SUMO1	GTPBP4
ELAVL1	ORMDL3
MAP2K1	LAMTOR3
SUMO2	PABPC1
TBKBP1	FXR2
ZFP91	MAP3K14
ELAVL1	PDCD4
ELAVL1	RNASEH1
YWHAQ	BCAP31
TBKBP1	APBA3
ARRDC3	NEDD4
KRT8	SUMO1
YWHAQ	TRIM28
ELAVL1	GRPEL2
NEDD4	DDX54
ELAVL1	RNF115
NEDD4	PDGFRB
NEDD4	ASPSCR1
SRC	WDHD1
PCLAF	FN3KRP
ELAVL1	TNFRSF21
YWHAZ	ELOA
CDCA8	XPO1
USP12	WDR26
UHRF2	SKP1
YWHAQ	AHCY
BMI1	UBE2D3
ELAVL1	NR3C1
VDR	EIF3I
MTA1	CEBPA
YWHAQ	ENO1
PSMD12	PSMD12
RBMX	FUS
YWHAQ	ADORA3
ITSN1	PICALM
DAG1	MAP2
PCLAF	PCMT1
SS18L1	PCGF6
PRKCQ	MAP3K7
MVB12A	VPS37A
PPP1R13B	ERBB2
UNC93B1	TM9SF3
CKS1B	CDK1
ITSN1	MTUS2
ELAVL1	PAN3
TP73	TRAPPC11
LOC100290337	UBA1
TNFRSF1A	CNTRL
TBK1	AGO2
RBFOX2	DEDD2
ELAVL1	GSR
ELAVL1	GSPT1
ELAVL1	GSK3B
MAPK6	MZB1
PARD3	DCAF7
NEDD4L	KCNAB2
TAL1	RBBP7
ELAVL1	CNEP1R1
ELAVL1	GTF3C1
PCLAF	COLGALT1
TAL1	RB1
SFN	SRSF10
TERF2	SRSF11
KAT7	ORC2
RAD21	KIF3B
ELAVL1	GTF2E1
AMFR	TIMM50
ELAVL1	GRB10
IRAK4	MBP
ELAVL1	GRB2
COMT	TRIP13
SRRM2	CDK12
MC2R	MGRN1
PSMA3	EEF1A1
HDAC11	GMNN
KAT2A	TADA1
ITPR1	ERLIN1
ITSN2	REPS1
SMURF2	AXIN1
PSMA3	EEF2
SRSF9	NCBP1
HGH1	POLA2
KAT8	ELOA
NOD2	IKBKG
TLE4	WDR77
ELAVL1	LSM11
INTS5	INTS13
YWHAQ	PDCD6
SPRY2	FAM219A
ELAVL1	MKNK2
MICOS10	MAPK1
PPP2CB	MOB4
ELAVL1	GOLGA3
HDGF	TMPO
TUBB4B	ENOX2
ELAVL1	FAM84B
TBKBP1	RB1CC1
RIPK3	STIP1
EIF2AK2	CCDC124
ELAVL1	GPM6B
PCLAF	BANF1
PCLAF	OR51G1
SIRT1	CDK1
PCLAF	SUCLG2
ELAVL1	GPR3
ESR1	BARD1
ELAVL1	GM2A
WBP2	NEDD4L
CKS1B	LDHB
RARA	TRIM32
CALM1	HSPA4
PCLAF	EIF2S2
PCLAF	BUD31
ELAVL1	GMFB
PCLAF	DDX18
PCLAF	RPL13P12
PCLAF	PRDX1
SMARCAD1	ZNF649
PCLAF	P4HB
WWP1	TP63
ELAVL1	GNA11
ELAVL1	GNAI3
ELAVL1	GNB1
ELAVL1	GNAZ
RBM39	CDK12
HDAC5	CDK1
BARD1	HIST2H2AC
SF3A2	HNRNPU
CEP63	MACF1
ELAVL1	ACACB
SF3A2	HNRNPC
SDHC	XRCC6
HDAC4	KDM5B
ELAVL1	ACTB
ARRDC2	WWP1
MAPK3	VDAC1
PPP4C	CDC45
ELAVL1	ACTN4
PCLAF	PCBD1
PCLAF	PCBP1
PCLAF	PCBP2
ELAVL1	ACVR1B
ELAVL1	BTBD3
EP300	BAG6
ELAVL1	CARD8
RNF8	CHD4
YWHAQ	ANXA2
YWHAQ	ANXA1
ELAVL1	SEPHS1
ELAVL1	MSRB2
OPTN	KCTD17
RACK1	ELOC
TRAF4	RNF114
KPNB1	TUBA1A
BTG1	XRCC6
CHEK2	PPP2CA
YWHAQ	APC
KDM5D	HIST3H3
CHEK2	PPP2R1A
SUMO2	LOC441155
ITSN1	FNBP1
PTPRC	LYN
PLEC	SPTAN1
RNF13	LAMP2
SGK1	TSC22D3
ELAVL1	GLUD1
ELAVL1	GLE1
ELAVL1	GCLC
UBXN7	PSMD2
HLA-DRB4	YWHAE
NEDD4L	DYRK3
KAT7	ORC1
HDGF	TOP1
MAPK6	TDP2
KMT2A	HIST2H3C
ELAVL1	B4GALT1
HDAC4	SS18L1
RELA	SUZ12
YWHAQ	TUBA1A
XRCC6	ATP23
COL11A1	FBXL19
MDM4	RN5S1@
ELAVL1	GDI2
HDAC6	GSK3B
HDAC6	GSK3A
VHL	DDX3Y
ELAVL1	GFPT1
PCLAF	H1FX
ELAVL1	FOXP1
PCLAF	HIST1H2AI
RIPK3	FKBP5
RAD21	UBE3C
RIPK3	FKBP4
KCNQ1	USP2
PCLAF	CCNA1
ELAVL1	PAXIP1
SOX2	CHD7
ELAVL1	TAF5L
PCLAF	FUBP3
PCK1	DDX3X
CHD7	PBRM1
NEDD4	TBK1
TYK2	SOCS1
RRAGA	CPSF2
H2AFX	CBX2
WWP2	EGR2
CRB2	HIST4H4
PCLAF	PLOD3
SHMT1	SUMO2
SHMT1	SUMO3
ELAVL1	ACIN1
CALM1	LACTB
ELAVL1	STAU2
ELAVL1	KDM2A
CTBP1	RBBP8
ELAVL1	LIMCH1
ELAVL1	TSPAN13
SNCA	USP9X
ELAVL1	RPIA
SIRT1	DVL1
ELAVL1	ATP2C1
ITSN1	PPFIA2
ELAVL1	PHLDA1
ELAVL1	MTF2
MRPL58	METTL17
TUBB3	DDX39B
ELAVL1	R3HDM2
ELAVL1	ATG14
ELAVL1	FNDC3A
ELAVL1	RNF144B
ETS2	TP53
ETS1	TP53
ELAVL1	CHSY1
E2F4	KMT2A
LMO2	RB1
ELAVL1	ADNP2
ELAVL1	ADGRL1
TRAF2	FBXO7
LMNB1	POU2F1
ELAVL1	FOXJ3
ARHGAP32	GRIN2B
ZBP1	ZNF516
SUMO2	MYH9
PCLAF	PHAX
AXIN1	DAXX
MNAT1	LRIF1
PHLPP1	AKT1
ASCC3	SRF
ELAVL1	CEP164
ELAVL1	KDSR
ELAVL1	IFI6
SIRT1	NR1H4
PPP1CA	KCTD20
SVIL	SH3PXD2A
APP	STUB1
AR	STUB1
ELAVL1	GALNT1
SIAH1	RLIM
PPARA	SUMO1
ELAVL1	PITHD1
ELAVL1	PCNP
EIF2AK2	SSB
KMT2A	SKP2
SREK1	HNRNPCL1
ELAVL1	MTMR9
RBPJ	RUNX1T1
ELAVL1	GATA2
SRRM2	RBMX
ELAVL1	GBE1
PTTG1	XRCC6
ELAVL1	TRAK2
ZBTB7A	SIRT1
ELAVL1	GART
ELAVL1	GAS1
ITSN1	SYNJ2
HAP1	KAT7
RAB27A	LRIF1
SUMO1	CLTC
MRPL58	NOA1
SIRT1	BRINP1
INSIG2	PSMB3
FBXO2	STUB1
MAP3K7	TUBB4A
XRCC6	ORC3
LOC100290337	DCAF7
ELAVL1	CASC3
RAD21	THSD7A
CHD7	SMARCE1
SRC	VCP
EIF2AK2	STAU1
CHD7	SMARCC2
PSMA3	PPM1F
SMARCAD1	BEND3
CUL1	RICTOR
SUMO1	TUBB6
HOXC4	POU2F1
RNF168	HERC2
PCLAF	HIST4H4
ITSN2	GAREM2
ARHGAP32	PIK3R1
AKT1	STUB1
CUL4A	DCAF12
PNN	PNISR
CALM1	TRDN
RFC5	LRIF1
AURKA	TLK1
IRF7	LTN1
INTS10	INTS4
PRDM4	HDAC1
EED	HIST3H3
PRDM4	HDAC2
CDKN2C	LRIF1
ARHGAP32	PLCG1
SUMO2	CLTC
ELAVL1	NR5A1
SUMO2	NDUFS1
EIF3F	CDK11A
FBXO32	CDKN1A
SUMO2	NOL6
SUMO4	SOD1
SUMO2	NRIP1
SUMO2	RBM10
SUMO4	SUMO2
PDPK1	PRXL2B
SUMO2	USP11
SUMO2	USP9X
SKP2	MRE11
INSIG2	PSMD4
INSIG2	PSMD12
INSIG2	PSMD13
INSIG2	PSMD11
RAD21	SETD3
EIF2AK2	GNL3
PARD6G	HSPA4
CALM1	STAG1
MOXD1	WDR5
INSIG2	PSMC2
INSIG2	PSMC3
INSIG2	PSMC5
INSIG2	PSMC6
IRAK2	ZC3H12A
HDAC6	FBXO11
PRMT5	AJUBA
STUB1	AHR
CKS1B	HSP90AA1
SUMO1	AURKA
KMT5C	GTF2I
BIRC5	XRCC6
LLGL1	RANBP9
HSPB1	UNG
CDKN2A	SP1
EMD	DDX39B
SUMO2	HIST4H4
SUMO2	TRRAP
ITSN1	ARFIP2
PIK3R1	ADAMTS2
H3F3A	XRCC6
CHD4	UBTF
ELAVL1	FOXO3
MEPCE	CDK11B
SUMO2	HNRNPLL
BMPR1B	SMURF1
POLR2M	WDR89
SUMO2	CPNE1
CDKN1A	LRIF1
RBBP8	LMO4
STUB1	CFTR
BCAR1	ARHGAP32
CCNT1	UBE2A
BMPR1A	TSC22D1
RPS6KA6	SYNE4
MCM10	LOC100290337
SUMO2	RPS6KA4
RNF13	PGRMC1
ELAVL1	FOXC1
TBK1	PPP6R2
ELAVL1	FGD1
CHD7	SMARCC1
CHD7	SMARCA4
SOX2	SUPT16H
POU2F1	XRCC5
XIAP	STUB1
SUMO2	BRWD1
SUMO2	MTHFD1
ELAVL1	FKBP1A
PRKCA	HDAC6
MMS22L	MMS22L
ELAVL1	FECH
XRCC5	COIL
NCOA3	MYOCD
UHRF2	CDK4
IRF5	PPM1G
RAD50	RBBP8
BMPR1A	SMURF1
DDB2	XRCC6
SUMO1	MLX
SRSF11	SRSF1
SRSF11	SRSF2
FBXL2	CUL1
NR1H2	BAG6
UHRF2	CDK6
RNF4	PML
NCF4	XRCC6
FANCC	CDK1
SIRT1	RBP1
ELAVL1	C3orf33
BRAF	RNF149
TP53	PSMD4
SUMO1	PRKDC
ZBP1	PLXDC2
SUMO2	CTPS1
ELAVL1	ETV5
SUMO2	INTS1
SSTR3	MAGI1
ELAVL1	ETS1
MBNL1	DDX17
ARHGAP32	CRKL
ELAVL1	ETV6
SPRTN	PCNA
CHFR	HLTF
CRK	ARHGAP32
IGF1R	IGF1
ELAVL1	F3
POLR2M	MYO3A
ELAVL1	MTA3
KDM1A	ZMYM2
ELAVL1	EWSR1
ELAVL1	MECOM
FYN	CDK1
GAB2	ARHGAP32
NOA1	ARF1
CREB1	RGS13
SOX2	GATAD2A
SMARCAD1	RBAK
TRAF6	NLRX1
ELAVL1	NUFIP2
AFF1	HIST3H3
ELAVL1	MPV17L
CUL5	GLMN
CLN3	TRIP13
ELAVL1	SRGAP1
ELAVL1	NLGN2
SMAD3	SS18L1
ELAVL1	ACSL4
ELAVL1	KLHL8
ELAVL1	FANCD2
ELAVL1	FANCE
ELAVL1	SCAF4
LZTS1	CDK1
ELAVL1	CNOT6
ELAVL1	LRRC47
ELAVL1	RNF150
PSMA6	PSMD14
SUMO2	PABPC4
TAF10	TADA1
SUMO1	CHD1
RAC1	BAG6
H2AFZ	HIST1H4G
HLA-DQA1	TLE1
PSMA3	PKM
SRSF1	XBP1
SUMO2	ANP32A
DISC1	ZNF365
CEBPA	TGFB2
SUMO2	MCM6
PSMA3	PGK1
SUMO2	MCM5
CALM1	OPTN
PSMA3	PGAM1
GSTM4	LRIF1
SUMO2	ACIN1
SUMO2	PDCD11
ATXN7	COG6
NCOA2	CAD
TTK	KNL1
DLC1	WWC1
KDM2B	JUN
SUMO2	DDX1
SUMO2	CCT5
SUMO2	SLC4A1AP
DAXX	STUB1
SUMO2	CWC22
SUMO2	DHX15
SUMO2	DHX9
SUPT3H	TADA1
SIRT2	EP300
PCLAF	NCOA7
SUMO2	SYMPK
CDK9	CTDP1
ELAVL1	ELK1
ELAVL1	ELK4
ELAVL1	RAB22A
SUMO1	ACTBL2
ELAVL1	CTTN
CACNA1A	PPP1R12C
SUMO2	TPX2
RBMX	ZNF490
SUMO1	FBLL1
ELAVL1	EPAS1
ELAVL1	EPB41L1
ELAVL1	EPHB4
UBQLN1	MTOR
ELAVL1	STX2
ELAVL1	REXO1
UBE3A	HSPA4
ELAVL1	EPS15
ELAVL1	NDRG3
CNTN2	EP300
ELAVL1	ERH
VHL	CCT5
CEP63	DST
GADD45A	CDK1
SREK1	SAFB
YWHAB	SRSF10
JAK1	HIST3H3
HINFP	NPAT
SUMO2	ATF6
MICOS10	COA7
XRCC5	CHRAC1
XRCC5	POLE3
NEDD4L	RASL11B
PLEC	MAP2
PCK1	SIRT2
SUMO2	RAB18
STUB1	CYP2E1
BAG1	STUB1
RELA	EZH2
PCLAF	XPNPEP3
SMARCAD1	WDR18
RELB	EZH2
SUMO2	CHRAC1
DCAF7	DYRK1B
SUMO2	POLE3
PARK7	STUB1
SUMO2	COPA
VHL	HNRNPA3
FZD4	BAG6
ELAVL1	DUSP28
MEPCE	SRSF3
KAT8	MSL3P1
SUMO2	OGT
SKP2	AKT1
RNF4	MDC1
UBQLN4	GJA1
BABAM1	BABAM1
STUB1	RUNX1
CCNA1	HIST1H1B
KDM1A	NSD2
TRAT1	RARRES3
SUMO2	CPT1A
SUMO2	CPS1
PSMA3	XRCC6
VHL	CLU
USP21	TRAF6
KAT2A	CUL4A
XRCC6	RUNX2
POLR2M	SCMH1
TMPO	OIP5
SUMO2	MARS
RBM39	ACIN1
SMURF1	PARD6A
NLRX1	SPNS1
SFN	BRAF
AR	XRCC5
KIR2DL4	RNF216
CALM1	PHACTR4
PDCL	EIF3I
SUMO2	RPSA
YWHAQ	VARS
SUMO2	LGALS1
ACTB	TAF11
CTDP1	INTS8
KAT6A	CREBBP
SUMO2	LIG1
SUMO2	LIG3
SCN5A	WWP2
SUMO2	MORC2
MSH6	PRKDC
CD40	XRCC5
HDGF	KRT2
SUMO1	SRSF7
HAX1	TUBB4A
ELAVL1	SALL4
SUMO1	TRIM4
HDGF	KRT1
NR0B2	SIRT7
SUMO2	ZBTB1
NR0B2	SIRT6
ELAVL1	DOLPP1
SEPT2	MTOR
ELAVL1	TMEM159
ELAVL1	PHTF2
H2AFZ	HIST4H4
HDGF	KRT10
YWHAQ	WEE1
SUMO2	DIS3
RAD23B	HIF1A
ELAVL1	CHMP1B
AURKA	NME1
MVD	BTAF1
ELAVL1	PDSS2
ITSN2	RUFY1
SRGN	BAG6
SUMO2	ARMC6
SREK1	SRSF1
SREK1	SRSF2
HDGF	KPNA2
SREK1	SRSF3
SREK1	SFPQ
BRCC3	BAG6
PIDD1	RFC5
PIDD1	RFC4
SREK1	SRSF4
SMARCAD1	FUBP3
SREK1	SRSF6
FBXO8	ARF6
SREK1	SRSF5
ELAVL1	SLC39A10
ATXN7	GPRASP1
ELAVL1	NIPAL3
ELAVL1	FAM219B
SREK1	TRA2B
SREK1	SRSF7
ELAVL1	SELENON
STN1	MED4
TBK1	PPP6R1
KDM1A	TP53
SNCA	KIAA1191
ATG7	SIRT1
POLR2M	ZNF410
ESRRA	SIRT1
SRSF11	U2AF2
PRMT1	LRIF1
SVIL	PAN3
XRCC6	NAA15
KAT7	JADE2
NCOA6	XRCC6
MCM10	RBX1
ELAVL1	RPS6KB1
ELAVL1	RPN1
AURKA	NIN
KAT8	CCAR2
RBM39	PNN
ITSN2	FCHSD2
ATF2	H2AFX
MDFI	AP5Z1
GTF2I	PRKG1
CREBBP	HOXD13
CREBBP	HOXD12
CDH1	TTK
DTNBP1	SRGAP3
RAP1B	LRIF1
POLR1A	MYBBP1A
SIRT1	ESR1
ELAVL1	FGF21
CALM1	DST
SUMO2	FXR1
CALM1	HUWE1
SUMO2	DNAJC8
ELAVL1	PLD6
SUMO2	PUF60
SIRT1	CTTN
CALM1	PDCD7
VHL	PLOD3
SUMO2	USP5
DCAF4	CUL4B
HSF2	CUL3
SUMO2	CYCS
PIM1	SKP2
MOB4	DYNLL1
CUL4A	DCAF4
SUMO4	PITHD1
RHOA	ARHGAP35
SMAD7	TSC22D1
STN1	MED9
SUMO1	COPA
SMARCAD1	MTA3
NOS2	SPSB4
PCLAF	ACTBL2
NCOA3	PRKCZ
PCLAF	FBLL1
AMFR	RHOT1
IKBKB	ERC1
INSIG1	INSIG2
AFF1	MLLT10
BRD4	NSD2
NSFL1C	ALPP
BAG1	CBL
ELAVL1	CGAS
TK1	MRPL20-AS1
PSMA3	P4HB
SOCS2	PTK2B
FBXW8	CCT3
WWTR1	KLF5
ARRB2	PTPA
MOB4	STRN3
FZR1	HSF2
MLLT1	SIRT1
PTEN	KRT14
AMFR	HMGCR
UNC93B1	TM9SF2
FUS	SRSF10
HDGF	KIF2A
MAP3K5	PSMC5
MAP3K5	PSMC1
COPS5	BRSK2
MAP3K5	PSMC4
MAP3K5	PSMC3
MAP3K5	PSMC2
MAVS	IKBKG
ELAVL1	FBXO4
SFN	CDK1
PSMA3	PCBP2
ELAVL1	FBXO8
CDHR1	PROM1
PCLAF	NPW
SUMO2	JUND
SUMO2	JUNB
IRF5	RGS3
ELAVL1	BRD2
ELAVL1	BLOC1S6
MRPL58	MALSU1
NEDD4	JHY
RAG1	RBX1
SRSF2	PPARGC1A
SUMO1	TRIM5
SRSF1	SNRNP70
PSMA3	RAD23B
ELAVL1	KLHL3
CENPA	HIST1H2BB
MAD1L1	COIL
SMARCAD1	CDC23
BAP1	ZNF131
CALM1	DCUN1D1
ELAVL1	ARL5A
HIST1H3A	XRCC5
DCAF7	DYRK2
NTRK1	CDC37
JMJD6	RBM23
KCNE3	LRIF1
UBA5	DDX39A
ATXN7	TRIM54
TBK1	LETM1
HGH1	GPRASP1
POLR3D	RBFOX2
CDC5L	SFR1
UNC93B1	YIPF3
TNKS	GMDS
HLA-DQA1	LRIF1
NELFB	RPN1
ELAVL1	SRSF8
BAG5	HSPA4
OAS3	TOP1
ELAVL1	SPIN1
ELAVL1	SUB1
ELAVL1	RNPS1
ELAVL1	PAPOLA
DNMT1	UHRF2
ELAVL1	HNRNPA0
AKIP1	RELA
ELAVL1	MORF4L1
SH3BP5	SPTBN1
RAD18	SPRTN
ELAVL1	PCMTD1
ELAVL1	SLC39A11
BYSL	COIL
ELAVL1	BLCAP
ELAVL1	TRIM65
EIF3F	PRRC2A
PHF1	XRCC6
CACNA1A	TSPOAP1
XRCC1	XPO1
SUMO2	ZMYM3
SUMO1	UBB
ELAVL1	PNRC1
RARG	EIF3I
FANCA	MSH2
ELAVL1	SERINC3
SOX2	TEAD1
ELAVL1	TMED2
ELAVL1	CKAP4
ELAVL1	CCNI
ELAVL1	FGFR1OP2
SRRM1	RBMX
BOK	NOA1
ELAVL1	TES
ELAVL1	ZBTB20
ELAVL1	SERBP1
ELAVL1	GAPVD1
GSK3B	TONSL
SSTR3	SCRIB
YAE1	NAT14
PPP1CA	BTBD10
PCLAF	EXOSC5
ITCH	CYLD
IRAK2	ZC3H12C
CACNA1A	C1QTNF1
MAGEA2B	PML
OPTN	YWHAQ
PCLAF	XAB2
PCLAF	MRPS22
PPP1CA	WBP11
PCLAF	CLTCL1
TMEM173	CNNM3
PTEN	IRS4
PCLAF	CHAF1B
PCLAF	GATD3A
CDC5L	SCAF8
SMAD3	STUB1
CPSF4	CSTF2T
ELAVL1	APPL1
ELAVL1	LSM14A
XRCC6	POU2F2
DTNBP1	DST
ELAVL1	CHTOP
ELAVL1	SZRD1
ELAVL1	TOR1AIP1
ELAVL1	SH3KBP1
PCLAF	HIST2H2BE
SUMO1	TUFM
KDM1A	RB1
ELAVL1	ZNF554
HINT1	KAT5
TWIST1	RBBP7
SUMO2	KPNA2
SUMO2	KIF22
CEBPA	POLR1E
AXIN1	APC
SRC	CCNA1
IRF4	PRRC2B
SRSF1	SRSF5
SRSF1	SRSF1
NR1H3	SS18L1
FBXO27	STUB1
EIF3F	ASCC3
SUMO2	LONP1
SENP8	PLA2G2A
SUMO2	PLAA
ELAVL1	OSBPL3
ELAVL1	GLCE
WWC1	LRIF1
SOX2	DOCK7
SIAH1	ELL2
ELAVL1	UPF2
AVPR2	STUB1
HSPB1	TNF
CDK8	SMC3
SUMO1	UTP20
SUMO1	ZNF638
SUMO1	PRPF19
UHRF2	CTNNB1
ASB2	JAK2
SKP2	CDC20
SERP1	BAG6
ATM	DYRK2
SMC3	CTCF
SIRT1	BHLHE41
KAT5	TNK2
DLGAP5	CDK1
PSMA3	PTBP1
GADD45G	CDK1
ERBB2	STUB1
SUMO1	RPF2
CALM1	USP16
SQSTM1	IRF8
SCAP	SEC24B
PIN1	SRSF11
SUMO1	HSP90B1
HERPUD1	XRCC6
FBXL12	JUN
STN1	MED29
ELAVL1	UHMK1
YWHAB	TUBA3D
POLR2C	LRIF1
PSMA3	PSMC3
TAPBP	COPG1
PSMA3	PSMC4
PSMA3	PSMD1
KAT5	NOTCH1
RAD23A	USP13
GPS1	CUL4A
CASP1	IL37
SREK1	CSNK2B
TRAF3	TDP2
SKIL	ESR1
YAE1	ZNF579
CD44	PTPRC
PCK1	LPCAT1
ELAVL1	HACD2
POLR2M	CEP126
PPP1CA	LPIN2
ELF5	SS18L1
NOD2	SHARPIN
SUMO2	SMC3
CDK9	TUBB4B
NFATC2	KPNB1
PSMA3	CKB
SUMO2	CDK11A
MRPL58	ERAL1
FAN1	RFC3
FAN1	RFC4
SUMO1	TFAP2B
SUMO1	TFAP2A
SUMO2	SCAF11
PSMA3	SRRT
SETDB1	PML
MTUS2	ZFP64
SUMO2	CTDP1
CEBPA	SP110
CD40	XRCC6
ATP1B1	LRIF1
CDC45	ORC1
PPP1CA	AATK
PPP1CA	SNCAIP
SIRT1	CLOCK
ELAVL1	GRAMD2B
USP20	PLA2G2A
GRB2	PTPN18
ELAVL1	ZNF747
ELAVL1	PHACTR4
ITSN2	SNAP29
ITSN1	SCOC
CAMK4	CABIN1
COPB1	COPG1
KAT6A	ESR1
SUMO2	NSF
MDM2	PSMA8
SUMO1	ACTB
NTNG1	LRRC4C
SS18	RBM14
YWHAQ	TPI1
MAGEA11	NCOA2
YWHAQ	TP53BP2
PIDD1	NUP93
PCLAF	HIST1H2BL
SUMO2	KTN1
PCLAF	HIST1H2AE
HDAC4	NFKB1
PCLAF	HIST1H2AJ
FBXW8	VBP1
PIDD1	POLD1
SUMO1	ACTC1
HGS	SUN2
PSMC2	HSPA4
PIDD1	POLR2B
SUMO2	KRT17
GPR37	STUB1
CHEK1	XRCC5
KRT18	SUMO2
PDPK1	PTPRC
SUMO1	ACAT1
NAGK	LSM8
ATXN1	STUB1
LRIF1	NR3C1
CACNA1A	RBM12B
TTI2	HSP90AA1
SMARCAD1	CDC16
TTI2	HSPA4
ARHGAP32	RHOA
ANXA7	RBM48
ITSN2	PDE4DIP
PRKCZ	PIAS4
ISG15	PPM1B
DST	ERBIN
WRAP73	SMAP1
MICOS10	SAMM50
RLIM	PDLIM1
SKI	SIRT1
SREK1	DDX3X
CCNA1	XRCC6
RBM39	PCBP3
NACC1	CUL4A
COPG1	ARF1
TP53	TRAPPC11
ATXN3	XRCC6
ITSN1	EPS15L1
SMARCAD1	SMARCA5
TAF9	RBM48
TAF1D	LRIF1
KAT5	RBPJ
CBX3	H2AFB1
ELAVL1	XXYLT1
ELAVL1	GLIPR2
ELAVL1	RNF38
ELAVL1	C4orf46
HOXB4	LOC100290337
CRCT1	LRIF1
STOML1	ASIC2
STOML1	ASIC1
KAT6A	EP300
BRCA1	CDK16
ARHGAP32	AKT1
TP53	TADA1
BTRC	AXIN1
ERC1	IKBKG
APEX1	XRCC5
TWIST1	ELSPBP1
KAT5	TP73
NR1H3	EIF3I
TNNI1	TNNT2
MDM2	FOXO3
JMJD6	SFSWAP
SVIL	KMT2A
ELAVL1	CITED2
RAG1	DCAF1
ELAVL1	IRF9
JOSD2	PLA2G2A
ELAVL1	TUBB3
ELAVL1	HMG20A
PCLAF	NUP214
ELAVL1	KLF2
NPAT	CCNA1
PCLAF	EIF5A2
ELAVL1	MARCH6
XRCC5	MSX2
ELAVL1	DNAJA2
CEBPA	HNRNPC
SUMO1	SND1
SUMO1	PELP1
ELAVL1	EIF1B
ELAVL1	SMNDC1
ELAVL1	SMIM14
ELAVL1	UBE4B
ELAVL1	NET1
ELAVL1	AKAP8
POLA1	CDC45
SEMA4D	PTPRC
CASP3	MDC1
ELAVL1	TCF3
RAD21	MTREX
ELAVL1	TBX3
CDKN1B	UBB
